Season,Rank,TeamID,Team,Conference
2001,1,1610612751,Nets,East
2001,1,1610612758,Kings,West
2001,2,1610612765,Pistons,East
2001,2,1610612759,Spurs,West
2001,3,1610612747,Lakers,West
2001,3,1610612738,Celtics,East
2001,4,1610612742,Mavericks,West
2001,4,1610612766,Hornets,East
2001,5,1610612750,Timberwolves,West
2001,5,1610612753,Magic,East
2001,6,1610612755,76ers,East
2001,6,1610612757,Trail Blazers,West
2001,7,1610612760,SuperSonics,West
2001,7,1610612761,Raptors,East
2001,8,1610612754,Pacers,East
2001,8,1610612762,Jazz,West
2001,9,1610612746,Clippers,West
2001,9,1610612749,Bucks,East
2001,10,1610612764,Wizards,East
2001,10,1610612756,Suns,West
2001,11,1610612745,Rockets,West
2001,11,1610612748,Heat,East
2001,12,1610612743,Nuggets,West
2001,12,1610612737,Hawks,East
2001,13,1610612752,Knicks,East
2001,13,1610612763,Grizzlies,West
2001,14,1610612739,Cavaliers,East
2001,14,1610612744,Warriors,West
2001,15,1610612741,Bulls,East
2002,1,1610612759,Spurs,West
2002,1,1610612765,Pistons,East
2002,2,1610612758,Kings,West
2002,2,1610612751,Nets,East
2002,3,1610612754,Pacers,East
2002,3,1610612742,Mavericks,West
2002,4,1610612755,76ers,East
2002,4,1610612750,Timberwolves,West
2002,5,1610612740,Hornets,East
2002,5,1610612747,Lakers,West
2002,6,1610612757,Trail Blazers,West
2002,6,1610612738,Celtics,East
2002,7,1610612762,Jazz,West
2002,7,1610612749,Bucks,East
2002,8,1610612753,Magic,East
2002,8,1610612756,Suns,West
2002,9,1610612745,Rockets,West
2002,9,1610612764,Wizards,East
2002,10,1610612752,Knicks,East
2002,10,1610612760,SuperSonics,West
2002,11,1610612737,Hawks,East
2002,11,1610612744,Warriors,West
2002,12,1610612741,Bulls,East
2002,12,1610612763,Grizzlies,West
2002,13,1610612746,Clippers,West
2002,13,1610612748,Heat,East
2002,14,1610612743,Nuggets,West
2002,14,1610612761,Raptors,East
2002,15,1610612739,Cavaliers,East
2003,1,1610612754,Pacers,East
2003,1,1610612750,Timberwolves,West
2003,2,1610612751,Nets,East
2003,2,1610612747,Lakers,West
2003,3,1610612765,Pistons,East
2003,3,1610612759,Spurs,West
2003,4,1610612758,Kings,West
2003,4,1610612748,Heat,East
2003,5,1610612740,Hornets,East
2003,5,1610612742,Mavericks,West
2003,6,1610612749,Bucks,East
2003,6,1610612763,Grizzlies,West
2003,7,1610612745,Rockets,West
2003,7,1610612752,Knicks,East
2003,8,1610612738,Celtics,East
2003,8,1610612743,Nuggets,West
2003,9,1610612762,Jazz,West
2003,9,1610612739,Cavaliers,East
2003,10,1610612757,Trail Blazers,West
2003,10,1610612761,Raptors,East
2003,11,1610612755,76ers,East
2003,11,1610612744,Warriors,West
2003,12,1610612760,SuperSonics,West
2003,12,1610612737,Hawks,East
2003,13,1610612764,Wizards,East
2003,13,1610612756,Suns,West
2003,14,1610612741,Bulls,East
2003,14,1610612746,Clippers,West
2003,15,1610612753,Magic,East
2004,1,1610612748,Heat,East
2004,1,1610612756,Suns,West
2004,2,1610612759,Spurs,West
2004,2,1610612765,Pistons,East
2004,3,1610612741,Bulls,East
2004,3,1610612742,Mavericks,West
2004,4,1610612738,Celtics,East
2004,4,1610612760,SuperSonics,West
2004,5,1610612745,Rockets,West
2004,5,1610612764,Wizards,East
2004,6,1610612754,Pacers,East
2004,6,1610612758,Kings,West
2004,7,1610612743,Nuggets,West
2004,7,1610612755,76ers,East
2004,8,1610612751,Nets,East
2004,8,1610612763,Grizzlies,West
2004,9,1610612739,Cavaliers,East
2004,9,1610612750,Timberwolves,West
2004,10,1610612746,Clippers,West
2004,10,1610612753,Magic,East
2004,11,1610612747,Lakers,West
2004,11,1610612761,Raptors,East
2004,12,1610612752,Knicks,East
2004,12,1610612744,Warriors,West
2004,13,1610612749,Bucks,East
2004,13,1610612757,Trail Blazers,West
2004,14,1610612762,Jazz,West
2004,14,1610612766,Bobcats,East
2004,15,1610612737,Hawks,East
2004,15,1610612740,Hornets,West
2005,1,1610612759,Spurs,West
2005,1,1610612765,Pistons,East
2005,2,1610612742,Mavericks,West
2005,2,1610612748,Heat,East
2005,3,1610612739,Cavaliers,East
2005,3,1610612756,Suns,West
2005,4,1610612743,Nuggets,West
2005,4,1610612751,Nets,East
2005,5,1610612763,Grizzlies,West
2005,5,1610612764,Wizards,East
2005,6,1610612746,Clippers,West
2005,6,1610612754,Pacers,East
2005,7,1610612741,Bulls,East
2005,7,1610612747,Lakers,West
2005,8,1610612749,Bucks,East
2005,8,1610612758,Kings,West
2005,9,1610612755,76ers,East
2005,9,1610612762,Jazz,West
2005,10,1610612740,Hornets,West
2005,10,1610612753,Magic,East
2005,11,1610612738,Celtics,East
2005,11,1610612760,SuperSonics,West
2005,12,1610612745,Rockets,West
2005,12,1610612761,Raptors,East
2005,13,1610612744,Warriors,West
2005,13,1610612766,Bobcats,East
2005,14,1610612737,Hawks,East
2005,14,1610612750,Timberwolves,West
2005,15,1610612752,Knicks,East
2005,15,1610612757,Trail Blazers,West
2006,1,1610612765,Pistons,East
2006,1,1610612742,Mavericks,West
2006,2,1610612739,Cavaliers,East
2006,2,1610612756,Suns,West
2006,3,1610612759,Spurs,West
2006,3,1610612761,Raptors,East
2006,4,1610612762,Jazz,West
2006,4,1610612748,Heat,East
2006,5,1610612741,Bulls,East
2006,5,1610612745,Rockets,West
2006,6,1610612743,Nuggets,West
2006,6,1610612751,Nets,East
2006,7,1610612747,Lakers,West
2006,7,1610612764,Wizards,East
2006,8,1610612744,Warriors,West
2006,8,1610612753,Magic,East
2006,9,1610612754,Pacers,East
2006,9,1610612746,Clippers,West
2006,10,1610612755,76ers,East
2006,10,1610612740,Hornets,West
2006,11,1610612758,Kings,West
2006,11,1610612766,Bobcats,East
2006,12,1610612752,Knicks,East
2006,12,1610612757,Trail Blazers,West
2006,13,1610612737,Hawks,East
2006,13,1610612750,Timberwolves,West
2006,14,1610612749,Bucks,East
2006,14,1610612760,SuperSonics,West
2006,15,1610612738,Celtics,East
2006,15,1610612763,Grizzlies,West
2007,1,1610612738,Celtics,East
2007,1,1610612747,Lakers,West
2007,2,1610612765,Pistons,East
2007,2,1610612740,Hornets,West
2007,3,1610612759,Spurs,West
2007,3,1610612753,Magic,East
2007,4,1610612762,Jazz,West
2007,4,1610612739,Cavaliers,East
2007,5,1610612745,Rockets,West
2007,5,1610612764,Wizards,East
2007,6,1610612761,Raptors,East
2007,6,1610612756,Suns,West
2007,7,1610612755,76ers,East
2007,7,1610612742,Mavericks,West
2007,8,1610612743,Nuggets,West
2007,8,1610612737,Hawks,East
2007,9,1610612754,Pacers,East
2007,9,1610612744,Warriors,West
2007,10,1610612751,Nets,East
2007,10,1610612757,Trail Blazers,West
2007,11,1610612741,Bulls,East
2007,11,1610612758,Kings,West
2007,12,1610612746,Clippers,West
2007,12,1610612766,Bobcats,East
2007,13,1610612749,Bucks,East
2007,13,1610612750,Timberwolves,West
2007,14,1610612752,Knicks,East
2007,14,1610612763,Grizzlies,West
2007,15,1610612760,SuperSonics,West
2007,15,1610612748,Heat,East
2008,1,1610612739,Cavaliers,East
2008,1,1610612747,Lakers,West
2008,2,1610612738,Celtics,East
2008,2,1610612743,Nuggets,West
2008,3,1610612753,Magic,East
2008,3,1610612759,Spurs,West
2008,4,1610612737,Hawks,East
2008,4,1610612757,Trail Blazers,West
2008,5,1610612745,Rockets,West
2008,5,1610612748,Heat,East
2008,6,1610612742,Mavericks,West
2008,6,1610612755,76ers,East
2008,7,1610612740,Hornets,West
2008,7,1610612741,Bulls,East
2008,8,1610612762,Jazz,West
2008,8,1610612765,Pistons,East
2008,9,1610612754,Pacers,East
2008,9,1610612756,Suns,West
2008,10,1610612744,Warriors,West
2008,10,1610612766,Bobcats,East
2008,11,1610612750,Timberwolves,West
2008,11,1610612751,Nets,East
2008,12,1610612749,Bucks,East
2008,12,1610612763,Grizzlies,West
2008,13,1610612760,Thunder,West
2008,13,1610612761,Raptors,East
2008,14,1610612746,Clippers,West
2008,14,1610612752,Knicks,East
2008,15,1610612758,Kings,West
2008,15,1610612764,Wizards,East
2009,1,1610612747,Lakers,West
2009,1,1610612739,Cavaliers,East
2009,2,1610612742,Mavericks,West
2009,2,1610612753,Magic,East
2009,3,1610612737,Hawks,East
2009,3,1610612756,Suns,West
2009,4,1610612738,Celtics,East
2009,4,1610612743,Nuggets,West
2009,5,1610612762,Jazz,West
2009,5,1610612748,Heat,East
2009,6,1610612749,Bucks,East
2009,6,1610612757,Trail Blazers,West
2009,7,1610612759,Spurs,West
2009,7,1610612766,Bobcats,East
2009,8,1610612741,Bulls,East
2009,8,1610612760,Thunder,West
2009,9,1610612745,Rockets,West
2009,9,1610612761,Raptors,East
2009,10,1610612754,Pacers,East
2009,10,1610612763,Grizzlies,West
2009,11,1610612752,Knicks,East
2009,11,1610612740,Hornets,West
2009,12,1610612765,Pistons,East
2009,12,1610612746,Clippers,West
2009,13,1610612755,76ers,East
2009,13,1610612744,Warriors,West
2009,14,1610612758,Kings,West
2009,14,1610612764,Wizards,East
2009,15,1610612751,Nets,East
2009,15,1610612750,Timberwolves,West
2010,1,1610612741,Bulls,East
2010,1,1610612759,Spurs,West
2010,2,1610612747,Lakers,West
2010,2,1610612748,Heat,East
2010,3,1610612738,Celtics,East
2010,3,1610612742,Mavericks,West
2010,4,1610612753,Magic,East
2010,4,1610612760,Thunder,West
2010,5,1610612737,Hawks,East
2010,5,1610612743,Nuggets,West
2010,6,1610612752,Knicks,East
2010,6,1610612757,Trail Blazers,West
2010,7,1610612740,Hornets,West
2010,7,1610612755,76ers,East
2010,8,1610612754,Pacers,East
2010,8,1610612763,Grizzlies,West
2010,9,1610612745,Rockets,West
2010,9,1610612749,Bucks,East
2010,10,1610612756,Suns,West
2010,10,1610612766,Bobcats,East
2010,11,1610612762,Jazz,West
2010,11,1610612765,Pistons,East
2010,12,1610612744,Warriors,West
2010,12,1610612751,Nets,East
2010,13,1610612746,Clippers,West
2010,13,1610612764,Wizards,East
2010,14,1610612758,Kings,West
2010,14,1610612761,Raptors,East
2010,15,1610612739,Cavaliers,East
2010,15,1610612750,Timberwolves,West
2011,1,1610612759,Spurs,West
2011,1,1610612741,Bulls,East
2011,2,1610612760,Thunder,West
2011,2,1610612748,Heat,East
2011,3,1610612747,Lakers,West
2011,3,1610612754,Pacers,East
2011,4,1610612738,Celtics,East
2011,4,1610612763,Grizzlies,West
2011,5,1610612737,Hawks,East
2011,5,1610612746,Clippers,West
2011,6,1610612743,Nuggets,West
2011,6,1610612753,Magic,East
2011,7,1610612752,Knicks,East
2011,7,1610612742,Mavericks,West
2011,8,1610612755,76ers,East
2011,8,1610612762,Jazz,West
2011,9,1610612745,Rockets,West
2011,9,1610612749,Bucks,East
2011,10,1610612756,Suns,West
2011,10,1610612765,Pistons,East
2011,11,1610612757,Trail Blazers,West
2011,11,1610612761,Raptors,East
2011,12,1610612751,Nets,East
2011,12,1610612750,Timberwolves,West
2011,13,1610612744,Warriors,West
2011,13,1610612739,Cavaliers,East
2011,14,1610612758,Kings,West
2011,14,1610612764,Wizards,East
2011,15,1610612740,Hornets,West
2011,15,1610612766,Bobcats,East
2012,1,1610612760,Thunder,West
2012,1,1610612748,Heat,East
2012,2,1610612759,Spurs,West
2012,2,1610612752,Knicks,East
2012,3,1610612743,Nuggets,West
2012,3,1610612754,Pacers,East
2012,4,1610612751,Nets,East
2012,4,1610612746,Clippers,West
2012,5,1610612741,Bulls,East
2012,5,1610612763,Grizzlies,West
2012,6,1610612737,Hawks,East
2012,6,1610612744,Warriors,West
2012,7,1610612738,Celtics,East
2012,7,1610612747,Lakers,West
2012,8,1610612745,Rockets,West
2012,8,1610612749,Bucks,East
2012,9,1610612755,76ers,East
2012,9,1610612762,Jazz,West
2012,10,1610612742,Mavericks,West
2012,10,1610612761,Raptors,East
2012,11,1610612765,Pistons,East
2012,11,1610612757,Trail Blazers,West
2012,12,1610612764,Wizards,East
2012,12,1610612750,Timberwolves,West
2012,13,1610612739,Cavaliers,East
2012,13,1610612758,Kings,West
2012,14,1610612766,Bobcats,East
2012,14,1610612740,Hornets,West
2012,15,1610612753,Magic,East
2012,15,1610612756,Suns,West
2013,1,1610612754,Pacers,East
2013,1,1610612759,Spurs,West
2013,2,1610612760,Thunder,West
2013,2,1610612748,Heat,East
2013,3,1610612761,Raptors,East
2013,3,1610612746,Clippers,West
2013,4,1610612741,Bulls,East
2013,4,1610612745,Rockets,West
2013,5,1610612757,Trail Blazers,West
2013,5,1610612764,Wizards,East
2013,6,1610612751,Nets,East
2013,6,1610612744,Warriors,West
2013,7,1610612763,Grizzlies,West
2013,7,1610612766,Bobcats,East
2013,8,1610612737,Hawks,East
2013,8,1610612742,Mavericks,West
2013,9,1610612752,Knicks,East
2013,9,1610612756,Suns,West
2013,10,1610612739,Cavaliers,East
2013,10,1610612750,Timberwolves,West
2013,11,1610612743,Nuggets,West
2013,11,1610612765,Pistons,East
2013,12,1610612738,Celtics,East
2013,12,1610612740,Pelicans,West
2013,13,1610612753,Magic,East
2013,13,1610612758,Kings,West
2013,14,1610612747,Lakers,West
2013,14,1610612755,76ers,East
2013,15,1610612749,Bucks,East
2013,15,1610612762,Jazz,West
2014,1,1610612737,Hawks,East
2014,1,1610612744,Warriors,West
2014,2,1610612745,Rockets,West
2014,2,1610612739,Cavaliers,East
2014,3,1610612741,Bulls,East
2014,3,1610612746,Clippers,West
2014,4,1610612757,Trail Blazers,West
2014,4,1610612761,Raptors,East
2014,5,1610612763,Grizzlies,West
2014,5,1610612764,Wizards,East
2014,6,1610612759,Spurs,West
2014,6,1610612749,Bucks,East
2014,7,1610612738,Celtics,East
2014,7,1610612742,Mavericks,West
2014,8,1610612751,Nets,East
2014,8,1610612740,Pelicans,West
2014,9,1610612754,Pacers,East
2014,9,1610612760,Thunder,West
2014,10,1610612748,Heat,East
2014,10,1610612756,Suns,West
2014,11,1610612766,Hornets,East
2014,11,1610612762,Jazz,West
2014,12,1610612743,Nuggets,West
2014,12,1610612765,Pistons,East
2014,13,1610612758,Kings,West
2014,13,1610612753,Magic,East
2014,14,1610612747,Lakers,West
2014,14,1610612755,76ers,East
2014,15,1610612752,Knicks,East
2014,15,1610612750,Timberwolves,West
2015,1,1610612739,Cavaliers,East
2015,1,1610612744,Warriors,West
2015,2,1610612759,Spurs,West
2015,2,1610612761,Raptors,East
2015,3,1610612748,Heat,East
2015,3,1610612760,Thunder,West
2015,4,1610612737,Hawks,East
2015,4,1610612746,Clippers,West
2015,5,1610612738,Celtics,East
2015,5,1610612757,Trail Blazers,West
2015,6,1610612742,Mavericks,West
2015,6,1610612766,Hornets,East
2015,7,1610612754,Pacers,East
2015,7,1610612763,Grizzlies,West
2015,8,1610612745,Rockets,West
2015,8,1610612765,Pistons,East
2015,9,1610612741,Bulls,East
2015,9,1610612762,Jazz,West
2015,10,1610612758,Kings,West
2015,10,1610612764,Wizards,East
2015,11,1610612743,Nuggets,West
2015,11,1610612753,Magic,East
2015,12,1610612740,Pelicans,West
2015,12,1610612749,Bucks,East
2015,13,1610612750,Timberwolves,West
2015,13,1610612752,Knicks,East
2015,14,1610612751,Nets,East
2015,14,1610612756,Suns,West
2015,15,1610612747,Lakers,West
2015,15,1610612755,76ers,East
2016,1,1610612738,Celtics,East
2016,1,1610612744,Warriors,West
2016,2,1610612739,Cavaliers,East
2016,2,1610612759,Spurs,West
2016,3,1610612745,Rockets,West
2016,3,1610612761,Raptors,East
2016,4,1610612746,Clippers,West
2016,4,1610612764,Wizards,East
2016,5,1610612737,Hawks,East
2016,5,1610612762,Jazz,West
2016,6,1610612749,Bucks,East
2016,6,1610612760,Thunder,West
2016,7,1610612754,Pacers,East
2016,7,1610612763,Grizzlies,West
2016,8,1610612741,Bulls,East
2016,8,1610612757,Trail Blazers,West
2016,9,1610612743,Nuggets,West
2016,9,1610612748,Heat,East
2016,10,1610612740,Pelicans,West
2016,10,1610612765,Pistons,East
2016,11,1610612742,Mavericks,West
2016,11,1610612766,Hornets,East
2016,12,1610612752,Knicks,East
2016,12,1610612758,Kings,West
2016,13,1610612750,Timberwolves,West
2016,13,1610612753,Magic,East
2016,14,1610612747,Lakers,West
2016,14,1610612755,76ers,East
2016,15,1610612751,Nets,East
2016,15,1610612756,Suns,West
2017,1,1610612745,Rockets,West
2017,1,1610612761,Raptors,East
2017,2,1610612738,Celtics,East
2017,2,1610612744,Warriors,West
2017,3,1610612755,76ers,East
2017,3,1610612757,Trail Blazers,West
2017,4,1610612739,Cavaliers,East
2017,4,1610612760,Thunder,West
2017,5,1610612754,Pacers,East
2017,5,1610612762,Jazz,West
2017,6,1610612740,Pelicans,West
2017,6,1610612748,Heat,East
2017,7,1610612749,Bucks,East
2017,7,1610612759,Spurs,West
2017,8,1610612750,Timberwolves,West
2017,8,1610612764,Wizards,East
2017,9,1610612743,Nuggets,West
2017,9,1610612765,Pistons,East
2017,10,1610612746,Clippers,West
2017,10,1610612766,Hornets,East
2017,11,1610612747,Lakers,West
2017,11,1610612752,Knicks,East
2017,12,1610612751,Nets,East
2017,12,1610612758,Kings,West
2017,13,1610612741,Bulls,East
2017,13,1610612742,Mavericks,West
2017,14,1610612753,Magic,East
2017,14,1610612763,Grizzlies,West
2017,15,1610612737,Hawks,East
2017,15,1610612756,Suns,West
2018,1,1610612744,Warriors,West
2018,1,1610612749,Bucks,East
2018,2,1610612743,Nuggets,West
2018,2,1610612761,Raptors,East
2018,3,1610612755,76ers,East
2018,3,1610612757,Trail Blazers,West
2018,4,1610612738,Celtics,East
2018,4,1610612745,Rockets,West
2018,5,1610612754,Pacers,East
2018,5,1610612762,Jazz,West
2018,6,1610612751,Nets,East
2018,6,1610612760,Thunder,West
2018,7,1610612753,Magic,East
2018,7,1610612759,Spurs,West
2018,8,1610612746,Clippers,West
2018,8,1610612765,Pistons,East
2018,9,1610612758,Kings,West
2018,9,1610612766,Hornets,East
2018,10,1610612747,Lakers,West
2018,10,1610612748,Heat,East
2018,11,1610612750,Timberwolves,West
2018,11,1610612764,Wizards,East
2018,12,1610612737,Hawks,East
2018,12,1610612763,Grizzlies,West
2018,13,1610612740,Pelicans,West
2018,13,1610612741,Bulls,East
2018,14,1610612739,Cavaliers,East
2018,14,1610612742,Mavericks,West
2018,15,1610612752,Knicks,East
2018,15,1610612756,Suns,West
2019,1,1610612747,Lakers,West
2019,1,1610612749,Bucks,East
2019,2,1610612746,Clippers,West
2019,2,1610612761,Raptors,East
2019,3,1610612738,Celtics,East
2019,3,1610612743,Nuggets,West
2019,4,1610612754,Pacers,East
2019,4,1610612745,Rockets,West
2019,5,1610612760,Thunder,West
2019,5,1610612748,Heat,East
2019,6,1610612755,76ers,East
2019,6,1610612762,Jazz,West
2019,7,1610612751,Nets,East
2019,7,1610612742,Mavericks,West
2019,8,1610612753,Magic,East
2019,8,1610612757,Trail Blazers,West
2019,9,1610612763,Grizzlies,West
2019,9,1610612764,Wizards,East
2019,10,1610612766,Hornets,East
2019,10,1610612756,Suns,West
2019,11,1610612759,Spurs,West
2019,11,1610612741,Bulls,East
2019,12,1610612752,Knicks,East
2019,12,1610612758,Kings,West
2019,13,1610612765,Pistons,East
2019,13,1610612740,Pelicans,West
2019,14,1610612737,Hawks,East
2019,14,1610612750,Timberwolves,West
2019,15,1610612739,Cavaliers,East
2019,15,1610612744,Warriors,West
2020,0,1610612737,Hawks,East
2020,0,1610612738,Celtics,East
2020,0,1610612739,Cavaliers,East
2020,0,1610612740,Pelicans,West
2020,0,1610612741,Bulls,East
2020,0,1610612742,Mavericks,West
2020,0,1610612743,Nuggets,West
2020,0,1610612744,Warriors,West
2020,0,1610612745,Rockets,West
2020,0,1610612746,Clippers,West
2020,0,1610612747,Lakers,West
2020,0,1610612748,Heat,East
2020,0,1610612749,Bucks,East
2020,0,1610612750,Timberwolves,West
2020,0,1610612751,Nets,East
2020,0,1610612752,Knicks,East
2020,0,1610612753,Magic,East
2020,0,1610612754,Pacers,East
2020,0,1610612755,76ers,East
2020,0,1610612756,Suns,West
2020,0,1610612757,Trail Blazers,West
2020,0,1610612758,Kings,West
2020,0,1610612759,Spurs,West
2020,0,1610612760,Thunder,West
2020,0,1610612761,Raptors,East
2020,0,1610612762,Jazz,West
2020,0,1610612763,Grizzlies,West
2020,0,1610612764,Wizards,East
2020,0,1610612765,Pistons,East
2020,0,1610612766,Hornets,East
2021,1,1610612748,Heat,East
2021,1,1610612756,Suns,West
2021,2,1610612738,Celtics,East
2021,2,1610612763,Grizzlies,West
2021,3,1610612749,Bucks,East
2021,3,1610612744,Warriors,West
2021,4,1610612755,76ers,East
2021,4,1610612742,Mavericks,West
2021,5,1610612762,Jazz,West
2021,5,1610612761,Raptors,East
2021,6,1610612743,Nuggets,West
2021,6,1610612741,Bulls,East
2021,7,1610612751,Nets,East
2021,7,1610612750,Timberwolves,West
2021,8,1610612739,Cavaliers,East
2021,8,1610612746,Clippers,West
2021,9,1610612740,Pelicans,West
2021,9,1610612737,Hawks,East
2021,10,1610612759,Spurs,West
2021,10,1610612766,Hornets,East
2021,11,1610612747,Lakers,West
2021,11,1610612752,Knicks,East
2021,12,1610612758,Kings,West
2021,12,1610612764,Wizards,East
2021,13,1610612754,Pacers,East
2021,13,1610612757,Trail Blazers,West
2021,14,1610612760,Thunder,West
2021,14,1610612765,Pistons,East
2021,15,1610612745,Rockets,West
2021,15,1610612753,Magic,East
2022,1,1610612743,Nuggets,West
2022,1,1610612749,Bucks,East
2022,2,1610612738,Celtics,East
2022,2,1610612763,Grizzlies,West
2022,3,1610612758,Kings,West
2022,3,1610612755,76ers,East
2022,4,1610612756,Suns,West
2022,4,1610612739,Cavaliers,East
2022,5,1610612752,Knicks,East
2022,5,1610612746,Clippers,West
2022,6,1610612751,Nets,East
2022,6,1610612744,Warriors,West
2022,7,1610612747,Lakers,West
2022,7,1610612748,Heat,East
2022,8,1610612737,Hawks,East
2022,8,1610612750,Timberwolves,West
2022,9,1610612740,Pelicans,West
2022,9,1610612761,Raptors,East
2022,10,1610612741,Bulls,East
2022,10,1610612760,Thunder,West
2022,11,1610612754,Pacers,East
2022,11,1610612742,Mavericks,West
2022,12,1610612762,Jazz,West
2022,12,1610612764,Wizards,East
2022,13,1610612753,Magic,East
2022,13,1610612757,Trail Blazers,West
2022,14,1610612745,Rockets,West
2022,14,1610612766,Hornets,East
2022,15,1610612765,Pistons,East
2022,15,1610612759,Spurs,West
2023,1,1610612738,Celtics,East
2023,1,1610612760,Thunder,West
2023,2,1610612743,Nuggets,West
2023,2,1610612752,Knicks,East
2023,3,1610612749,Bucks,East
2023,3,1610612750,Timberwolves,West
2023,4,1610612739,Cavaliers,East
2023,4,1610612746,Clippers,West
2023,5,1610612753,Magic,East
2023,5,1610612742,Mavericks,West
2023,6,1610612754,Pacers,East
2023,6,1610612756,Suns,West
2023,7,1610612755,76ers,East
2023,7,1610612740,Pelicans,West
2023,8,1610612747,Lakers,West
2023,8,1610612748,Heat,East
2023,9,1610612741,Bulls,East
2023,9,1610612758,Kings,West
2023,10,1610612744,Warriors,West
2023,10,1610612737,Hawks,East
2023,11,1610612751,Nets,East
2023,11,1610612745,Rockets,West
2023,12,1610612762,Jazz,West
2023,12,1610612761,Raptors,East
2023,13,1610612763,Grizzlies,West
2023,13,1610612766,Hornets,East
2023,14,1610612759,Spurs,West
2023,14,1610612764,Wizards,East
2023,15,1610612765,Pistons,East
2023,15,1610612757,Trail Blazers,West
